Subject,Group,Age,Gender,StandardProblem,CBType,StandardAcc,StandardResp,ControlAcc,ControlResp,StandardRT,ControlRT,StandardConfidence,ControlConfidence,StandardOpinion,ControlOpinion,StandardRecall,ControlRecall,StandardMC,ControlMC,LogStandardRT,LogControlRT,LogRTdiff,Confdiff,Opindiff
1,SONA,21,Male,PE,2b,1,0.05,1,0.9,13.779,12.76,0.95,0.98,0.98,0.75,1,0,1,0,1.169645049,1.138618434,0.031026615,-0.03,0.23
2,SONA,18,Male,PE,1a,0,0.1,1,0.9,11.926,9.231,1,1,0.9,0.9,1,0,1,0,1.111464152,1.009918085,0.101546067,0,0
3,SONA,18,Male,BM,1b,1,0.45,1,0.1,7.281,4.665,1,1,0.6,1,1,0,1,0,0.918082785,0.753199914,0.16488287,0,-0.4
4,SONA,20,Male,BM,2a,1,0.45,1,0.1,20.49,8.069,0.9,1,0.75,0.5,1,0,1,0,1.332236415,0.957559402,0.374677014,-0.1,0.25
5,SONA,19,Female,PE,2b,0,0.1,1,0.9,294.315,12.639,0.5,0.85,0.8,0.9,1,0,1,0,2.470285507,1.134782529,1.335502977,-0.35,-0.1
6,SONA,19,Female,PE,1a,0,0.1,1,0.9,26.09,6.12,1,1,0.9,1,0,0,0,0,1.432809005,0.852479994,0.580329011,0,-0.1
7,SONA,18,Female,BM,1b,0,0.9,1,0.1,19.572,19.633,1,1,0.8,0.9,0,0,0,0,1.313276516,1.314562378,-0.001285863,0,-0.1
8,SONA,20,Female,PE,2b,0,0.1,1,0.9,9.46,14.582,1,1,0.9,0.9,0,0,1,0,1.019531685,1.1926232,-0.173091515,0,0
9,SONA,19,Male,BM,2a,1,0.45,1,0.1,31.759,31.026,0.9,1,0.8,1,1,0,1,0,1.515330636,1.505502699,0.009827937,-0.1,-0.2
10,SONA,18,Male,PE,1a,0,0.1,1,0.9,17.262,22.057,1,1,0.75,1,1,0,1,0,1.261548338,1.3628028,-0.101254461,0,-0.25
11,SONA,19,Female,BM,2a,0,2.45,1,0.1,57.455,12.298,0.9,0.9,0.55,0.98,NA,NA,1,1,1.766821665,1.123786329,0.643035336,0,-0.43
12,SONA,19,Female,PE,1a,1,0.05,1,0.9,115.178,19.368,0.55,1,0.45,0.95,1,0,1,0,2.065123896,1.308948386,0.75617551,-0.45,-0.5
13,SONA,19,Female,BM,1b,0,0.9,1,0.1,47.139,15.534,0.8,1,0.8,0.85,0,0,1,0,1.682497064,1.218377933,0.464119131,-0.2,-0.05
14,SONA,18,Male,PE,2b,1,0.05,1,0.9,45.717,39.895,1,1,0.7,0.99,1,0,1,0,1.669474946,1.611670213,0.057804734,0,-0.29
15,SONA,22,Female,PE,1a,1,0.05,1,0.9,53.242,17.083,0.99,0.99,0.99,0.99,1,0,1,0,1.734335694,1.257270482,0.477065212,0,0
16,SONA,19,Female,BM,2a,0,0.9,1,0.1,30.054,8.402,0.7,1,0.7,0.9,1,NA,1,1,1.492117549,0.973220247,0.518897302,-0.3,-0.2
17,SONA,20,Female,PE,2b,0,0.1,1,0.9,4.855,9.738,1,0.9,0.99,0.9,NA,NA,0,1,0.767526899,1.0309234,-0.2633965,0.1,0.09
18,SONA,18,Female,BM,1b,1,0.45,1,0.1,55.959,7.611,1,1,0.9,0.95,1,0,1,0,1.755562356,0.935053589,0.820508767,0,-0.05
19,SONA,18,Female,PE,1a,0,0.1,1,0.9,13.72,10.222,0.99,1,0.99,1,1,0,1,0,1.16790781,1.050070264,0.117837546,-0.01,-0.01
20,SONA,18,Female,PE,2b,0,0.1,1,0.9,14.799,12.34,0.9,1,0.7,0.8,1,0,1,0,1.198629599,1.12515583,0.07347377,-0.1,-0.1
21,SONA,18,Female,BM,1b,1,0.45,1,0.1,49.955,12.365,1,1,1,0.86,1,0,1,0,1.707186806,1.125968963,0.581217843,0,0.14
22,SONA,19,Male,PE,2b,1,0.05,1,0.9,19.454,9.937,1,1,0.8,0.99,1,0,1,0,1.310778252,1.038898212,0.271880039,0,-0.19
23,SONA,18,Female,PE,1a,0,0.1,1,0.9,13.376,8.818,1,1,0.95,0.95,NA,NA,1,0,1.157638064,0.992023028,0.165615036,0,0
24,SONA,18,Female,BM,2a,0,0.9,1,0.1,28.83,10.881,1,1,0.8,0.99,1,0,1,0,1.474653253,1.074852996,0.399800257,0,-0.19
25,SONA,20,Female,PE,2b,0,0.1,1,0.9,10.755,12.235,1,1,0.9,0.9,NA,NA,1,0,1.070222633,1.121723946,-0.051501312,0,0
26,SONA,19,Male,BM,1b,1,0.45,1,0.1,144.208,22.694,1,1,0.9,0.98,NA,NA,1,0,2.161990544,1.374638384,0.78735216,0,-0.08
27,SONA,19,Female,PE,2b,0,0.1,1,0.9,38.809,21.106,0.9,0.9,0.5,0.7,1,0,1,0,1.599981268,1.344510166,0.255471103,0,-0.2
28,SONA,19,Male,BM,1b,1,0.45,1,0.1,51.34,7.673,1,1,0.94,0.98,1,0,1,1,1.718833718,0.938169346,0.780664372,0,-0.04
29,SONA,18,Female,BM,2a,0,0.9,1,0.1,32.448,35.881,0.9,0.9,0.75,0.8,NA,NA,1,0,1.524370155,1.566802688,-0.042432534,0,-0.05
30,SONA,19,Female,PE,1a,0,0.1,1,0.9,13.148,9.652,0.98,0.98,0.98,0.98,1,0,1,0,1.150695051,1.027431158,0.123263893,0,0
31,SONA,18,Male,PE,1a,0,0.1,1,0.9,6.956,13.407,1,1,0.98,0.98,1,0,1,0,0.900694774,1.158573556,-0.257878782,0,0
32,SONA,18,Female,BM,1b,1,0.45,1,0.1,99.475,12.469,0.7,1,0.8,1,1,0,1,0,2.002058015,1.129335353,0.872722662,-0.3,-0.2
33,SONA,19,Female,BM,2a,0,0.9,1,0.1,22.739,10.902,0.4,1,0.7,0.98,1,0,1,0,1.37546242,1.075619946,0.299842475,-0.6,-0.28
34,SONA,19,Female,PE,2b,0,0.1,1,0.9,18.767,23.506,0.99,0.99,0.98,0.99,1,0,1,0,1.295940762,1.389272429,-0.093331667,0,-0.01
35,SONA,19,Female,BM,1b,1,0.45,1,0.1,139.803,13.832,0.8,1,0.7,0.9,1,0,1,0,2.148611908,1.171199717,0.977412191,-0.2,-0.2
36,SONA,19,Male,BM,2a,0,0.9,1,0.1,9.324,7.132,1,1,0.85,0.9,NA,NA,0,1,1.013847996,0.91019737,0.103650626,0,-0.05
37,SONA,19,Female,PE,1a,1,0.05,1,0.9,110.055,12.978,0.5,0.8,0.6,0.9,1,NA,1,0,2.045538116,1.145445036,0.90009308,-0.3,-0.3
38,SONA,19,Female,PE,2b,1,0.05,1,0.9,231.549,17.233,0.7,0.8,0.6,0.6,1,0,1,0,2.366514476,1.260858132,1.105656344,-0.1,0
39,SONA,19,Male,BM,1b,1,0.45,1,0.1,259.042,40.537,1,1,0.5,1,1,0,1,0,2.415043498,1.618435127,0.796608371,0,-0.5
40,SONA,18,Male,BM,1b,1,0.45,1,0.1,109.75,7.74,0.95,1,0.75,0.95,1,NA,1,0,2.044343735,0.941511433,1.102832302,-0.05,-0.2
41,SONA,19,Male,PE,2b,1,0.05,1,0.9,31.302,11.145,1,1,0.95,0.6,NA,NA,1,0,1.509229413,1.084397519,0.424831894,0,0.35
42,SONA,19,Female,PE,1a,0,0.1,1,0.9,8.923,7.544,1,1,0.8,0.8,NA,NA,1,1,0.996642991,0.93166124,0.064981752,0,0
43,SONA,21,Male,BM,2a,1,0.45,1,0.1,28.43,13.826,1,1,0.5,1,NA,NA,1,0,1.468790262,1.171023996,0.297766266,0,-0.5
44,SONA,18,Male,BM,2a,0,0.9,1,0.1,44.631,41.771,1,0.6,0.99,0.6,NA,NA,1,0,1.659259986,1.631149404,0.028110582,0.4,0.39
45,SONA,24,Male,PE,2b,0,0.1,1,0.9,28.594,12.215,1,1,0.9,0.95,NA,NA,1,0,1.471203669,1.121067167,0.350136502,0,-0.05
46,SONA,21,Male,BM,1b,0,0.9,1,0.1,20.24,10.253,1,0.8,1,0.5,NA,NA,1,0,1.327154512,1.051268319,0.275886194,0.2,0.5
47,SONA,19,Female,PE,1a,0,0.1,1,0.9,8.843,24.995,1,1,0.99,0.99,NA,NA,1,0,0.993127485,1.414889822,-0.421762337,0,0
48,SONA,18,Female,PE,2b,0,0.1,1,0.9,10.975,12.545,0.95,0.95,0.9,0.9,NA,NA,1,0,1.078275522,1.131779009,-0.053503487,0,0
49,SONA,19,Male,PE,1a,0,0.1,1,0.9,9.149,12.46,1,1,0.99,0.99,NA,NA,1,0,1.006423253,1.12904506,-0.122621807,0,0
50,SONA,19,Female,BM,1b,0,0.9,1,0.1,7.257,9.861,1,1,0.9,0.95,0,0,0,0,0.916822285,1.035869814,-0.119047529,0,-0.05
51,SONA,20,Female,BM,2a,0,0.9,1,0.1,13.505,9.853,1,1,0.95,0.95,0,0,0,0,1.161517733,1.035549803,0.12596793,0,0
52,SONA,20,Male,PE,1a,1,0.05,1,0.9,32.523,16.502,0.99,1,0.9,0.99,1,0,1,0,1.525342877,1.24308768,0.282255198,-0.01,-0.09
53,SONA,19,Other,BM,1b,0,0.9,1,0.1,146.6,117.327,0,0.75,0.5,0.5,1,0,1,0,2.169086357,2.073083854,0.096002504,-0.75,0
54,SONA,21,Male,PE,2b,1,0.05,1,0.9,30.605,21.319,0.9,0.9,0.6,0.8,1,NA,1,0,1.499755795,1.348674732,0.151081062,0,-0.2
55,SONA,19,Male,BM,2a,0,0.9,1,0.1,12.09,6.78,1,1,0.8,0.8,0,0,0,0,1.116939647,0.890979597,0.22596005,0,0
56,SONA,18,Female,BM,2a,0,0.9,1,0.1,68.854,10.713,1,1,0.75,1,NA,NA,1,0,1.84419128,1.068668143,0.775523137,0,-0.25
57,SONA,18,Female,PE,2b,0,0.1,1,0.9,41.453,16.655,0.98,1,0.9,0.9,1,1,1,0,1.627908386,1.246867722,0.381040664,-0.02,0
58,SONA,20,Female,PE,1a,0,0.1,1,0.9,16.884,5.844,1,1,0.85,0.85,1,0,1,0,1.252464661,0.835310001,0.41715466,0,0
59,SONA,18,Female,BM,1b,0,0.9,1,0.1,16.678,11.439,0.98,1,0.7,0.75,1,0,1,0,1.24743313,1.094785468,0.152647662,-0.02,-0.05
60,SONA,18,Female,PE,1a,0,0.1,1,0.9,71.118,14.429,0.9,1,0.5,1,1,NA,1,0,1.858043674,1.188337779,0.669705895,-0.1,-0.5
61,SONA,20,Female,BM,1b,0,0.9,1,0.1,7.715,7.376,1,1,0.99,0.99,NA,NA,0,0,0.940267391,0.923036669,0.017230723,0,0
62,SONA,31,Female,PE,2b,1,0.05,1,0.9,96.718,20.382,1,1,0.6,0.95,1,0,1,0,1.98997457,1.330048325,0.659926244,0,-0.35
63,SONA,18,Male,BM,2a,1,0.45,1,0.1,69.557,14.809,1,1,0.9,1,1,0,1,0,1.848540107,1.198904399,0.649635707,0,-0.1
64,SONA,19,Female,PE,2b,0,0.1,1,0.9,85.574,12.89,0.9,1,0.8,0.75,NA,NA,1,0,1.937387484,1.142702246,0.794685238,-0.1,0.05
65,SONA,19,Female,BM,1b,1,0.45,1,0.1,122.407,16.273,1,1,0.85,0.95,1,0,1,0,2.091339795,1.237367773,0.853972022,0,-0.1
66,SONA,22,Male,BM,2a,1,0.45,1,0.1,142.428,33.299,1,1,0.8,0.95,NA,NA,1,0,2.156633943,1.535281458,0.621352484,0,-0.15
67,SONA,20,Male,PE,1a,0,0.1,1,0.9,6.834,10.533,1,1,0.8,0.85,0,NA,1,0,0.893983567,1.061942292,-0.167958725,0,-0.05
68,SONA,18,Female,PE,2b,0,0.1,1,0.9,20.802,29.702,0.5,0.5,0.8,0.8,NA,NA,1,0,1.338496335,1.487166667,-0.148670332,0,0
69,SONA,19,Female,PE,1a,0,0.1,1,0.9,19.997,16.756,1,0.5,0.75,0.5,NA,NA,0,0,1.322157248,1.249345136,0.072812112,0.5,0.25
70,SONA,18,Male,PE,1a,1,0.05,1,0.9,116.825,29.695,1,1,0.7,0.95,1,NA,1,0,2.071237448,1.487067638,0.584169811,0,-0.25
71,SONA,18,Female,BM,1b,1,0.45,1,0.1,65.534,12.722,1,1,0.5,1,1,0,1,0,1.823043634,1.137417415,0.685626219,0,-0.5
72,SONA,20,Male,BM,2a,0,0.9,1,0.1,16.82,7.658,0.99,0.99,0.95,0.98,0,NA,1,0,1.2509077,0.937417581,0.313490118,0,-0.03
73,SONA,20,Female,BM,2a,0,0.9,1,0.1,11.898,16.659,1,0.9,0.75,0.8,1,0,1,0,1.110522373,1.246966107,-0.136443734,0.1,-0.05
74,SONA,22,Male,BM,1b,1,0.45,1,0.1,29.843,12.105,0.5,1,0.5,1,1,0,1,0,1.489156614,1.117437025,0.371719589,-0.5,-0.5
75,SONA,19,Female,PE,2b,0,0.1,1,0.9,9.348,24.96,1,1,0.9,0.9,0,NA,1,0,1.01485642,1.414304688,-0.399448268,0,0
76,SONA,20,Female,PE,2b,0,0.1,1,0.9,12.315,16.886,1,1,0.9,0.9,NA,NA,1,0,1.124341171,1.252513226,-0.128172056,0,0
77,SONA,19,Female,BM,1b,0,0.9,1,0.1,21.377,12.123,1,1,1,1,0,0,1,1,1.349801862,1.118033129,0.231768733,0,0
78,SONA,20,Male,BM,2a,1,0.45,1,0.1,118.901,29.399,1,1,0.4,0.99,NA,NA,1,0,2.078822805,1.482859297,0.595963508,0,-0.59
79,SONA,18,Male,PE,1a,1,0.05,1,0.9,24.754,11.421,1,1,0.9,0.95,0,0,0,0,1.410844691,1.094156562,0.31668813,0,-0.05
80,SONA,19,Male,BM,1b,0,0.9,1,0.1,7.203,10.793,1,1,0.95,0.95,NA,0,0,0,0.913972712,1.071624299,-0.157651587,0,0
81,SONA,18,Female,PE,1a,0,0.1,1,0.9,91.304,51.332,0.25,1,0.6,0.9,1,NA,1,0,1.965220522,1.718767333,0.246453189,-0.75,-0.3
82,SONA,19,Male,BM,2a,0,0.9,1,0.1,35.048,20.02,1,1,0.7,0.7,NA,NA,1,0,1.556881174,1.322632712,0.234248463,0,0
83,SONA,19,Male,PE,2b,1,0.05,1,0.9,70.892,14.316,0.96,1,0.7,0.9,NA,NA,1,0,1.856680566,1.185145358,0.671535208,-0.04,-0.2
84,SONA,19,Male,PE,1a,0,0.1,1,0.9,38.741,18.78,1,1,0.95,0.99,NA,NA,1,0,1.599238791,1.296226287,0.303012504,0,-0.04
85,SONA,19,Male,BM,1b,1,0.45,1,0.1,66.642,21.662,0.8,1,0.2,0.3,1,0,1,0,1.83021644,1.355298235,0.474918205,-0.2,-0.1
86,SONA,19,Male,PE,2b,1,0.05,1,0.9,45.144,13.142,1,1,0.8,0.8,1,NA,1,0,1.664115239,1.150510833,0.513604406,0,0
87,SONA,21,Male,BM,2a,1,0.45,1,0.1,35.711,17.403,1,1,0.5,1,1,0,1,0,1.564796215,1.264888626,0.299907589,0,-0.5
88,SONA,22,Female,BM,2a,1,0.45,1,0.1,58.809,20.417,1,0.75,0.15,0.5,NA,NA,1,0,1.776766541,1.330758637,0.446007904,0.25,-0.35
89,SONA,18,Male,BM,1b,0,0.9,1,0.1,17.142,40.877,1,0.5,0.9,0.5,NA,0,1,0,1.258685163,1.621975562,-0.363290399,0.5,0.4
90,SONA,21,Male,PE,2b,0,0.1,1,0.9,30.292,31.39,0.9,0.85,0.9,0.9,1,0,1,0,1.495433322,1.510410948,-0.014977626,0.05,0
91,SONA,18,Male,PE,1a,0,0.1,1,0.9,49.457,29.5,1,1,0.75,0.8,1,0,1,0,1.702921425,1.484299839,0.218621586,0,-0.05
92,SONA,18,Male,BM,1b,0,0.9,1,0.1,11.725,26.934,1,1,0.99,0.99,NA,NA,0,0,1.104657791,1.446133129,-0.341475338,0,0
93,SONA,19,Male,PE,1a,0,0.1,1,0.9,10.776,8.814,1,1,1,0.99,NA,NA,1,1,1.070997797,0.991846054,0.079151743,0,0.01
94,SONA,18,Male,BM,2a,1,0.45,1,0.1,70.285,14.123,0.9,0.99,0.4,0.9,1,0,1,0,1.852998154,1.179637952,0.673360202,-0.09,-0.5
95,SONA,18,Male,PE,2b,0,0.1,1,0.9,13.605,8.31,1,1,0.99,0.99,1,1,1,0,1.164501561,0.968949681,0.19555188,0,0
96,SONA,19,Female,BM,2a,0,0.9,1,0.1,9.352,8.018,0.9,1,0.9,0.9,NA,NA,0,1,1.015024263,0.955110231,0.059914032,-0.1,0
97,SONA,20,Female,PE,2b,0,0.1,1,0.9,21.249,17.106,1,1,0.99,0.99,1,0,1,0,1.347310496,1.257822516,0.08948798,0,0
98,SONA,18,Male,PE,1a,1,0.05,1,0.9,38.266,15.488,1,1,0.67,0.9,1,0,1,0,1.594016662,1.217167979,0.376848683,0,-0.23
99,SONA,19,Female,BM,1b,1,0.45,1,0.1,68.552,14.126,1,1,0.5,0.75,NA,NA,1,0,1.842309623,1.179724096,0.662585527,0,-0.25
100,SONA,19,Male,BM,2a,0,0.9,1,0.1,14.681,19.827,1,1,0.69,0.5,NA,NA,0,0,1.195373755,1.318626717,-0.123252962,0,0.19
101,SONA,19,Female,BM,2a,0,0.9,1,0.1,41.912,14.301,0.75,1,0.95,0.99,1,0,1,0,1.632578756,1.184719815,0.447858941,-0.25,-0.04
102,SONA,22,Female,BM,1b,1,0.45,1,0.1,76.049,15.678,1,1,0.45,0.98,1,0,1,0,1.886767006,1.22214397,0.664623037,0,-0.53
103,SONA,18,Male,PE,2b,1,0.05,1,0.9,18.021,11.839,1,1,0.95,1,NA,NA,1,0,1.279233346,1.108531199,0.170702147,0,-0.05
104,SONA,20,Male,PE,1a,0,0.1,1,0.9,10.133,9.376,1,1,0.99,0.99,NA,NA,1,0,1.046612209,1.016029963,0.030582246,0,0
105,SONA,20,Female,BM,1b,1,0.45,1,0.1,29.503,9.498,0.95,1,0.8,0.95,1,0,1,0,1.484342555,1.021106568,0.463235986,-0.05,-0.15
106,SONA,18,Female,BM,2a,0,0.9,1,0.1,20.58,5.591,1,1,0.75,0.8,0,0,1,0,1.33405144,0.818951312,0.515100129,0,-0.05
107,SONA,22,Male,PE,1a,1,0.05,1,0.9,374.151,206.036,0.9,0.9,0.5,0.9,1,0,1,0,2.574206108,2.316045868,0.25816024,0,-0.4
108,SONA,19,Female,PE,2b,1,0.05,1,0.9,62.674,13.112,0.8,1,0.5,0.95,NA,NA,1,0,1.803962133,1.149588568,0.654373565,-0.2,-0.45
109,SONA,20,Female,BM,1b,1,0.45,1,0.1,40.193,7.605,1,1,0.65,0.99,0,0,1,0,1.614823422,0.934750875,0.680072547,0,-0.34
110,SONA,19,Male,PE,1a,0,0.1,1,0.9,12.634,7.091,1,1,0.9,0.9,NA,NA,1,1,1.13462329,0.908002201,0.226621088,0,0
111,SONA,19,Female,BM,2a,0,0.9,1,0.1,65.416,29.063,0.95,0.97,0.6,0.96,1,0,1,0,1.822272716,1.478032317,0.344240399,-0.02,-0.36
112,SONA,19,Male,PE,2b,0,0.1,1,0.9,14.758,20.051,1,1,1,1,1,0,1,0,1.197501096,1.323272731,-0.125771635,0,0
113,SONA,18,Female,PE,2b,1,0.05,1,0.9,13.048,8.472,1,1,0.7,1,1,0,1,0,1.147614499,0.976441689,0.171172809,0,-0.3
114,SONA,22,Male,BM,1b,0,0.9,1,0.1,45.819,18.091,0.9,0.9,0.85,0.9,NA,NA,1,0,1.670422133,1.280828678,0.389593456,0,-0.05
115,SONA,19,Male,PE,1a,0,0.1,1,0.9,80.203,13.881,0.3,1,0.1,0.9,1,0,1,0,1.909572074,1.172632117,0.736939958,-0.7,-0.8
116,SONA,19,Female,BM,2a,0,0.9,1,0.1,11.282,6.714,1,1,0.9,1,0,0,1,0,1.089269093,0.887279635,0.201989459,0,-0.1
117,SONA,19,Male,BM,1b,0,not computable,1,0.1,83.176,11.325,1,0.98,0.35,0.95,1,0,1,0,1.925188284,1.090786928,0.834401357,0.02,-0.6
118,SONA,20,Male,PE,1a,0,0.1,1,0.9,10.587,10.258,0.95,1,0.8,0.95,1,0,1,0,1.063971007,1.051461244,0.012509763,-0.05,-0.15
119,SONA,20,Female,PE,2b,0,0.1,1,0.9,15.856,11.66,1,0.99,0.99,0.99,NA,NA,1,0,1.226754523,1.102433706,0.124320817,0.01,0
120,SONA,19,Male,BM,2a,0,0.9,1,0.1,13.724,7.311,0.95,0.99,0.7,0.9,1,0,1,0,1.168025809,0.919653282,0.248372526,-0.04,-0.2
121,SONA,18,Female,PE,1a,0,0.1,1,0.9,25.144,20.524,1,1,0.75,0.75,0,0,1,0,1.417372035,1.332922983,0.084449051,0,0
122,SONA,19,Male,BM,2a,0,0.9,1,0.1,19.288,8.22,1,1,0.93,1,0,NA,1,0,1.307239236,0.964730921,0.342508315,0,-0.07
123,SONA,19,Female,BM,1b,1,0.45,1,0.1,127.269,24.326,1,1,0.7,0.8,0,0,1,0,2.108121709,1.403566603,0.704555106,0,-0.1
124,SONA,19,Male,PE,2b,0,0.1,1,0.9,7.838,9.249,1,1,1,0.9,NA,NA,1,0,0.946353997,1.010681493,-0.064327496,0,0.1
125,SONA,20,Male,BM,1b,0,0.9,1,0.1,13.587,7.826,1,1,0.99,0.99,0,0,1,0,1.163965983,0.945763923,0.21820206,0,0
126,SONA,18,Male,BM,2a,0,0.9,1,0.1,31.408,9.408,1,1,0.5,0.9,NA,NA,1,0,1.51065223,1.017367284,0.493284947,0,-0.4
