Subject,Group,Age,Gender,StandardProblem,CBType,StandardAcc,StandardResp,ControlAcc,ControlResp,StandardRT,ControlRT,StandardConfidence,ControlConfidence,StandardOpinion,ControlOpinion,StandardRecall,ControlRecall,StandardMC,ControlMC,LogStandardRT,LogControlRT,LogRTdiff,Confdiff,Opindiff,temp
1,LLM_MIX8X7B_T13,21,Male,PE,2b,0,10,1,90,,,1,0.75,0.95,0.3,,,,,,,,0.25,0.65,1.3
2,LLM_MIX8X7B_T13,18,Male,PE,1a,1,0.05,1,0.9,,,1,1,0.9,0.9,,,,,,,,0,0,1.3
3,LLM_MIX8X7B_T13,18,Male,BM,1b,1,0.45,1,0.1,,,0.75,0.95,0.8,0.95,,,,,,,,-0.2,-0.15,1.3
4,LLM_MIX8X7B_T13,20,Male,BM,2a,0,2.75,0,,,,0.6,1,,,,,,,,,,-0.4,,1.3
5,LLM_MIX8X7B_T13,19,Female,PE,2b,1,0.05,1,0.9,,,0.65,0.85,0.4,0.6,,,,,,,,-0.2,-0.2,1.3
6,LLM_MIX8X7B_T13,19,Female,PE,1a,1,0.05,1,0.9,,,0.8,0.0005,-0.7,1,,,,,,,,0.7995,-1.7,1.3
7,LLM_MIX8X7B_T13,18,Female,BM,1b,0,,0,1,,,0.85,0.9,0.6,0.7,,,,,,,,-0.05,-0.1,1.3
8,LLM_MIX8X7B_T13,20,Female,PE,2b,1,5,1,90,,,1,1,0.7,0.8,,,,,,,,0,-0.1,1.3
9,LLM_MIX8X7B_T13,19,Male,BM,2a,1,0.45,1,0.1,,,1,0.1,0.0145,0.85,,,,,,,,0.9,-0.8355,1.3
10,LLM_MIX8X7B_T13,18,Male,PE,1a,1,5,1,90,,,0.85,0.6,0.75,0.5,,,,,,,,0.25,0.25,1.3
11,LLM_MIX8X7B_T13,19,Female,BM,2a,0,50,1,10,,,1,1,0.8,0.9,,,,,,,,0,-0.1,1.3
12,LLM_MIX8X7B_T13,19,Female,PE,1a,1,0.05,1,0.9,,,0.8,0.85,0.6,0.8,,,,,,,,-0.05,-0.2,1.3
13,LLM_MIX8X7B_T13,19,Female,BM,1b,0,,1,0.1,,,1,1,0.85,1,,,,,,,,0,-0.15,1.3
14,LLM_MIX8X7B_T13,18,Male,PE,2b,1,0.05,1,0.9,,,0.85,0.9,0.3,0.6,,,,,,,,-0.05,-0.3,1.3
15,LLM_MIX8X7B_T13,22,Female,PE,1a,1,5,1,90,,,1,0.8,0.7,0.4,,,,,,,,0.2,0.3,1.3
16,LLM_MIX8X7B_T13,19,Female,BM,2a,0,90,1,10,,,0.5,1,0.65,0.8,,,,,,,,-0.5,-0.15,1.3
17,LLM_MIX8X7B_T13,20,Female,PE,2b,1,0.05,1,0.9,,,0.75,0.85,0.5,0.6,,,,,,,,-0.1,-0.1,1.3
18,LLM_MIX8X7B_T13,18,Female,BM,1b,0,2,1,10,,,1,0.85,0.2,0.72,,,,,,,,0.15,-0.52,1.3
19,LLM_MIX8X7B_T13,18,Female,PE,1a,0,10,1,90,,,0.95,0.98,-0.75,0.9,,,,,,,,-0.03,-1.65,1.3
20,LLM_MIX8X7B_T13,18,Female,PE,2b,1,0.05,1,0.9,,,0.99,0.95,0.4,0.75,,,,,,,,0.04,-0.35,1.3
21,LLM_MIX8X7B_T13,18,Female,BM,1b,0,2,0,1,,,0.98,0.95,0.65,0.9,,,,,,,,0.03,-0.25,1.3
22,LLM_MIX8X7B_T13,19,Male,PE,2b,0,1,1,0.9,,,0.45,0.95,0.011,0.9,,,,,,,,-0.5,-0.889,1.3
23,LLM_MIX8X7B_T13,18,Female,PE,1a,0,0.1,1,90,,,0.5,0.5,0.7,0.6,,,,,,,,0,0.1,1.3
24,LLM_MIX8X7B_T13,18,Female,BM,2a,1,0.45,1,0.1,,,0.6,0.8,0.5,0.6,,,,,,,,-0.2,-0.1,1.3
25,LLM_MIX8X7B_T13,20,Female,PE,2b,1,0.05,1,0.9,,,0.9,0.9,0.3,0.5,,,,,,,,0,-0.2,1.3
26,LLM_MIX8X7B_T13,19,Male,BM,1b,1,0.45,1,0.1,,,0.8,1,0.65,0.85,,,,,,,,-0.2,-0.2,1.3
27,LLM_MIX8X7B_T13,19,Female,PE,2b,0,0.1,1,0.9,,,0.9,1,,0.6,,,,,,,,-0.1,,1.3
28,LLM_MIX8X7B_T13,19,Male,BM,1b,0,,0,,,,0.8,0.001,0.4,0.9,,,,,,,,0.799,-0.5,1.3
29,LLM_MIX8X7B_T13,18,Female,BM,2a,1,0.45,1,0.1,,,0.85,0.95,0.7,0.6,,,,,,,,-0.1,0.1,1.3
30,LLM_MIX8X7B_T13,19,Female,PE,1a,1,0.05,1,0.9,,,0.9,1,0.4,0.5,,,,,,,,-0.1,-0.1,1.3
31,LLM_MIX8X7B_T13,18,Male,PE,1a,1,5,1,90,,,0.9,0.7,0.4,0.85,,,,,,,,0.2,-0.45,1.3
32,LLM_MIX8X7B_T13,18,Female,BM,1b,1,0.45,1,0.1,,,1,0.32,0.95,0.98,,,,,,,,0.68,-0.03,1.3
33,LLM_MIX8X7B_T13,19,Female,BM,2a,0,0.7,0,1,,,0.95,0.01,0.35,0.05,,,,,,,,0.94,0.3,1.3
34,LLM_MIX8X7B_T13,19,Female,PE,2b,1,0.05,1,0.9,,,1,0.75,0.4,0.6,,,,,,,,0.25,-0.2,1.3
35,LLM_MIX8X7B_T13,19,Female,BM,1b,0,2.5,0,,,,0.85,1,,0.9,,,,,,,,-0.15,,1.3
36,LLM_MIX8X7B_T13,19,Male,BM,2a,0,0.85,0,1,,,0.98,0.93,,0.05,,,,,,,,0.05,,1.3
37,LLM_MIX8X7B_T13,19,Female,PE,1a,1,5,1,90,,,0.8,0.9,0.011,-0.7,,,,,,,,-0.1,0.711,1.3
38,LLM_MIX8X7B_T13,19,Female,PE,2b,1,0.05,1,0.9,,,1,0.95,0.75,,,,,,,,,0.05,,1.3
39,LLM_MIX8X7B_T13,19,Male,BM,1b,1,0.45,1,0.1,,,0.9,1,0.25,0.5,,,,,,,,-0.1,-0.25,1.3
40,LLM_MIX8X7B_T13,18,Male,BM,1b,1,0.45,1,0.1,,,0.75,0.95,0.65,0.5,,,,,,,,-0.2,0.15,1.3
41,LLM_MIX8X7B_T13,19,Male,PE,2b,1,0.05,1,0.9,,,1,1,0.7,0.95,,,,,,,,0,-0.25,1.3
42,LLM_MIX8X7B_T13,19,Female,PE,1a,0,0.1,1,0.9,,,0.6,0.8,0.5,0.3,,,,,,,,-0.2,0.2,1.3
43,LLM_MIX8X7B_T13,21,Male,BM,2a,0,0.9,1,0.1,,,0.75,1,0.5,0.95,,,,,,,,-0.25,-0.45,1.3
44,LLM_MIX8X7B_T13,18,Male,BM,2a,1,0.45,0,1.1,,,0.029,0.95,0.009,0.99,,,,,,,,-0.921,-0.981,1.3
45,LLM_MIX8X7B_T13,24,Male,PE,2b,1,0.05,1,0.9,,,1,1,0.4,0.85,,,,,,,,0,-0.45,1.3
46,LLM_MIX8X7B_T13,21,Male,BM,1b,0,,0,,,,0.65,0.98,0.5,0.75,,,,,,,,-0.33,-0.25,1.3
47,LLM_MIX8X7B_T13,19,Female,PE,1a,1,5,1,90,,,1,0.8,0.6,0.5,,,,,,,,0.2,0.1,1.3
48,LLM_MIX8X7B_T13,18,Female,PE,2b,1,0.05,1,0.9,,,0.7,1,0.3,0.6,,,,,,,,-0.3,-0.3,1.3
49,LLM_MIX8X7B_T13,19,Male,PE,1a,0,0.1,0,2.9,,,0.5,0.75,,0.8,,,,,,,,-0.25,,1.3
50,LLM_MIX8X7B_T13,19,Female,BM,1b,1,0.45,1,0.1,,,0.99,1,0.5,0.8,,,,,,,,-0.01,-0.3,1.3
51,LLM_MIX8X7B_T13,20,Female,BM,2a,0,0.1,1,0.1,,,0.65,0.95,-0.4,0.8,,,,,,,,-0.3,-1.2,1.3
52,LLM_MIX8X7B_T13,20,Male,PE,1a,1,0.05,1,0.9,,,0.9,1,0.6,0.9,,,,,,,,-0.1,-0.3,1.3
53,LLM_MIX8X7B_T13,19,Other,BM,1b,1,0.45,1,0.1,,,0.7,1,0.6,0.95,,,,,,,,-0.3,-0.35,1.3
54,LLM_MIX8X7B_T13,21,Male,PE,2b,1,0.05,1,0.9,,,1,1,0.6,0.5,,,,,,,,0,0.1,1.3
55,LLM_MIX8X7B_T13,19,Male,BM,2a,1,0.45,1,0.1,,,0.8,1,0.5,0.67,,,,,,,,-0.2,-0.17,1.3
56,LLM_MIX8X7B_T13,18,Female,BM,2a,1,0.45,1,0.1,,,1,0.9,0.5,0.6,,,,,,,,0.1,-0.1,1.3
57,LLM_MIX8X7B_T13,18,Female,PE,2b,1,0.05,1,0.9,,,1,1,0.8,0.65,,,,,,,,0,0.15,1.3
58,LLM_MIX8X7B_T13,20,Female,PE,1a,1,0.05,1,0.9,,,0.67,1,,,,,,,,,,-0.33,,1.3
59,LLM_MIX8X7B_T13,18,Female,BM,1b,1,0.45,1,0.1,,,0.75,1,0.6,0.95,,,,,,,,-0.25,-0.35,1.3
60,LLM_MIX8X7B_T13,18,Female,PE,1a,0,0.1,1,0.9,,,0.7,1,0.75,0.9,,,,,,,,-0.3,-0.15,1.3
61,LLM_MIX8X7B_T13,20,Female,BM,1b,1,0.45,1,0.1,,,1,1,,0.85,,,,,,,,0,,1.3
62,LLM_MIX8X7B_T13,31,Female,PE,2b,1,0.05,1,0.9,,,0.8,1,0.95,0.75,,,,,,,,-0.2,0.2,1.3
63,LLM_MIX8X7B_T13,18,Male,BM,2a,0,60,1,10,,,1,1,0.5,0.99,,,,,,,,0,-0.49,1.3
64,LLM_MIX8X7B_T13,19,Female,PE,2b,1,0.05,1,0.9,,,0.8,1,0.6,0.85,,,,,,,,-0.2,-0.25,1.3
65,LLM_MIX8X7B_T13,19,Female,BM,1b,1,0.45,1,0.1,,,0.9,0.8,0.8,0.95,,,,,,,,0.1,-0.15,1.3
66,LLM_MIX8X7B_T13,22,Male,BM,2a,1,0.45,1,0.1,,,0.9,0.95,0.67,0.45,,,,,,,,-0.05,0.22,1.3
67,LLM_MIX8X7B_T13,20,Male,PE,1a,1,0.05,1,0.9,,,0.8,0.99,0.5,-0.95,,,,,,,,-0.19,1.45,1.3
68,LLM_MIX8X7B_T13,18,Female,PE,2b,1,0.05,1,0.9,,,0.95,1,0.75,0.95,,,,,,,,-0.05,-0.2,1.3
69,LLM_MIX8X7B_T13,19,Female,PE,1a,1,0.05,1,0.9,,,1,1,0.6,-0.99,,,,,,,,0,1.59,1.3
70,LLM_MIX8X7B_T13,18,Male,PE,1a,1,5,1,0.9,,,0.75,0.98,0.001,0.7,,,,,,,,-0.23,-0.699,1.3
71,LLM_MIX8X7B_T13,18,Female,BM,1b,0,1.4,0,,,,1,1,0.8,0.95,,,,,,,,0,-0.15,1.3
72,LLM_MIX8X7B_T13,20,Male,BM,2a,0,2.9,0,,,,1,1,0.6,-0.1,,,,,,,,0,0.7,1.3
73,LLM_MIX8X7B_T13,20,Female,BM,2a,1,0.45,1,0.1,,,1,1,0.6,0.9,,,,,,,,0,-0.3,1.3
74,LLM_MIX8X7B_T13,22,Male,BM,1b,1,0.45,1,0.1,,,0.9,1,0.87,1,,,,,,,,-0.1,-0.13,1.3
75,LLM_MIX8X7B_T13,19,Female,PE,2b,0,0.1,1,90,,,0.95,0.85,0.85,0.9,,,,,,,,0.1,-0.05,1.3
76,LLM_MIX8X7B_T13,20,Female,PE,2b,1,0.05,1,0.9,,,0.9,1,0.4,0.8,,,,,,,,-0.1,-0.4,1.3
77,LLM_MIX8X7B_T13,19,Female,BM,1b,1,0.45,1,0.1,,,0.75,0.95,0.6,0.8,,,,,,,,-0.2,-0.2,1.3
78,LLM_MIX8X7B_T13,20,Male,BM,2a,0,0.9,1,0.1,,,0.95,0.98,0.6,0.75,,,,,,,,-0.03,-0.15,1.3
79,LLM_MIX8X7B_T13,18,Male,PE,1a,0,0.95,1,0.9,,,1,1,0.4762,0.7341,,,,,,,,0,-0.2579,1.3
80,LLM_MIX8X7B_T13,19,Male,BM,1b,1,0.45,1,0.1,,,0.8,0.75,0.35,0.5,,,,,,,,0.05,-0.15,1.3
81,LLM_MIX8X7B_T13,18,Female,PE,1a,1,0.05,1,0.9,,,0.95,0.75,0.25,0.65,,,,,,,,0.2,-0.4,1.3
82,LLM_MIX8X7B_T13,19,Male,BM,2a,0,1.9,0,1,,,0.65,1,0.8,-0.9,,,,,,,,-0.35,1.7,1.3
83,LLM_MIX8X7B_T13,19,Male,PE,2b,1,0.05,1,0.9,,,0.65,0.85,0.4,0.75,,,,,,,,-0.2,-0.35,1.3
84,LLM_MIX8X7B_T13,19,Male,PE,1a,1,5,1,90,,,1,1,0.3,0.85,,,,,,,,0,-0.55,1.3
85,LLM_MIX8X7B_T13,19,Male,BM,1b,1,0.45,1,0.1,,,1,1,,0.75,,,,,,,,0,,1.3
86,LLM_MIX8X7B_T13,19,Male,PE,2b,0,10,1,90,,,0.9,0.9,0.75,0.75,,,,,,,,0,0,1.3
87,LLM_MIX8X7B_T13,21,Male,BM,2a,1,0.45,1,0.1,,,0.95,1,0.3,0.85,,,,,,,,-0.05,-0.55,1.3
88,LLM_MIX8X7B_T13,22,Female,BM,2a,0,15,1,10,,,1,1,0.4,0.1,,,,,,,,0,0.3,1.3
89,LLM_MIX8X7B_T13,18,Male,BM,1b,0,0.9,1,0.1,,,0.85,1,0.95,0.9,,,,,,,,-0.15,0.05,1.3
90,LLM_MIX8X7B_T13,21,Male,PE,2b,1,5,1,0.9,,,0.9,1,0.5,0.5,,,,,,,,-0.1,0,1.3
91,LLM_MIX8X7B_T13,18,Male,PE,1a,0,0.1,1,90,,,0.95,0.95,0.75,0.85,,,,,,,,0,-0.1,1.3
92,LLM_MIX8X7B_T13,18,Male,BM,1b,1,0.45,1,0.1,,,0.7,0.95,0.35,0.7,,,,,,,,-0.25,-0.35,1.3
93,LLM_MIX8X7B_T13,19,Male,PE,1a,1,0.05,1,0.9,,,0.99,1,0.85,0.98,,,,,,,,-0.01,-0.13,1.3
94,LLM_MIX8X7B_T13,18,Male,BM,2a,1,0.45,1,0.1,,,1,0.95,0.5,0.85,,,,,,,,0.05,-0.35,1.3
95,LLM_MIX8X7B_T13,18,Male,PE,2b,1,0.05,1,0.9,,,1,0.75,0.6,0.35,,,,,,,,0.25,0.25,1.3
96,LLM_MIX8X7B_T13,19,Female,BM,2a,0,35,1,10,,,0.75,1,0.6,0.95,,,,,,,,-0.25,-0.35,1.3
97,LLM_MIX8X7B_T13,20,Female,PE,2b,1,5,1,90,,,0.85,0.85,,0.9,,,,,,,,0,,1.3
98,LLM_MIX8X7B_T13,18,Male,PE,1a,1,0.05,1,0.9,,,1,1,0.01,0.8,,,,,,,,0,-0.79,1.3
99,LLM_MIX8X7B_T13,19,Female,BM,1b,0,2.7,0,1,,,0,0.95,0.65,0.95,,,,,,,,-0.95,-0.3,1.3
100,LLM_MIX8X7B_T13,19,Male,BM,2a,1,0.45,1,0.1,,,1,1,0.7,0.95,,,,,,,,0,-0.25,1.3
101,LLM_MIX8X7B_T13,19,Female,BM,2a,0,0.9,1,0.1,,,1,1,0.95,0.75,,,,,,,,0,0.2,1.3
102,LLM_MIX8X7B_T13,22,Female,BM,1b,1,0.45,1,0.1,,,0.75,0.8,0.75,0.75,,,,,,,,-0.05,0,1.3
103,LLM_MIX8X7B_T13,18,Male,PE,2b,0,0.1,1,0.9,,,0.1,0.5,0.15,0.25,,,,,,,,-0.4,-0.1,1.3
104,LLM_MIX8X7B_T13,20,Male,PE,1a,1,5,1,90,,,1,1,0.4,0.95,,,,,,,,0,-0.55,1.3
105,LLM_MIX8X7B_T13,20,Female,BM,1b,1,0.45,1,0.1,,,0.9,0.9,0.65,0.75,,,,,,,,0,-0.1,1.3
106,LLM_MIX8X7B_T13,18,Female,BM,2a,1,0.45,1,0.1,,,1,1,0.5,0.98,,,,,,,,0,-0.48,1.3
107,LLM_MIX8X7B_T13,22,Male,PE,1a,1,5,1,90,,,1,,,0.95,,,,,,,,,,1.3
108,LLM_MIX8X7B_T13,19,Female,PE,2b,1,0.05,1,0.9,,,0.9,0.75,0.4,0.98,,,,,,,,0.15,-0.58,1.3
109,LLM_MIX8X7B_T13,20,Female,BM,1b,1,45,1,10,,,0.75,0.95,0.6,0.75,,,,,,,,-0.2,-0.15,1.3
110,LLM_MIX8X7B_T13,19,Male,PE,1a,1,0.05,1,0.9,,,1,1,0.8,0.85,,,,,,,,0,-0.05,1.3
111,LLM_MIX8X7B_T13,19,Female,BM,2a,1,0.45,1,0.1,,,0.87,0.95,0.6,0.9,,,,,,,,-0.08,-0.3,1.3
112,LLM_MIX8X7B_T13,19,Male,PE,2b,1,0.05,1,0.9,,,0.95,1,0.85,0.75,,,,,,,,-0.05,0.1,1.3
113,LLM_MIX8X7B_T13,18,Female,PE,2b,1,0.05,1,0.9,,,1,1,0.5,0.95,,,,,,,,0,-0.45,1.3
114,LLM_MIX8X7B_T13,22,Male,BM,1b,0,2,1,0.1,,,0.95,0.011,0.02,0.75,,,,,,,,0.939,-0.73,1.3
115,LLM_MIX8X7B_T13,19,Male,PE,1a,1,0.05,0,2.4,,,0.011,0.75,0.8,0.5,,,,,,,,-0.739,0.3,1.3
116,LLM_MIX8X7B_T13,19,Female,BM,2a,0,0.4,1,10,,,0.75,0.8,0.3,0.6,,,,,,,,-0.05,-0.3,1.3
117,LLM_MIX8X7B_T13,19,Male,BM,1b,1,0.45,1,0.1,,,0.95,0.95,0.65,0.98,,,,,,,,0,-0.33,1.3
118,LLM_MIX8X7B_T13,20,Male,PE,1a,1,5,1,90,,,0.5,0.99,0.1,0.8,,,,,,,,-0.49,-0.7,1.3
119,LLM_MIX8X7B_T13,20,Female,PE,2b,1,0.05,1,0.9,,,1,1,0.6,0.7,,,,,,,,0,-0.1,1.3
120,LLM_MIX8X7B_T13,19,Male,BM,2a,0,0.9,0,1.1,,,0.85,0.6,0.75,0.25,,,,,,,,0.25,0.5,1.3
121,LLM_MIX8X7B_T13,18,Female,PE,1a,0,0.1,1,90,,,0.95,1,0.5,0.98,,,,,,,,-0.05,-0.48,1.3
122,LLM_MIX8X7B_T13,19,Male,BM,2a,1,0.45,1,0.1,,,0.97,0.99,0.8,0.9,,,,,,,,-0.02,-0.1,1.3
123,LLM_MIX8X7B_T13,19,Female,BM,1b,1,45,1,10,,,1,1,0.65,0.85,,,,,,,,0,-0.2,1.3
124,LLM_MIX8X7B_T13,19,Male,PE,2b,0,0.55,1,0.9,,,0.9,0.99,0.65,0.8,,,,,,,,-0.09,-0.15,1.3
125,LLM_MIX8X7B_T13,20,Male,BM,1b,1,0.45,1,0.1,,,0.75,0.85,0.8,0.9,,,,,,,,-0.1,-0.1,1.3
