Subject,Group,Age,Gender,StandardProblem,CBType,StandardAcc,StandardResp,ControlAcc,ControlResp,StandardRT,ControlRT,StandardConfidence,ControlConfidence,StandardOpinion,ControlOpinion,StandardRecall,ControlRecall,StandardMC,ControlMC,LogStandardRT,LogControlRT,LogRTdiff,Confdiff,Opindiff,temp
254,LLM_MIX8X7B_T13,40,Male,PE,2b,0,10,1,0.9,,,0.95,1,0.5,0.85,,,,,,,,-0.05,-0.35,1.3
255,LLM_MIX8X7B_T13,47,Female,BM,1b,0,,0,,,,1,0.85,0.95,0.95,,,,,,,,0.15,0,1.3
256,LLM_MIX8X7B_T13,35,Male,PE,1a,1,0.05,1,0.9,,,1,1,0.85,0.65,,,,,,,,0,0.2,1.3
257,LLM_MIX8X7B_T13,18,Male,PE,2b,1,0.05,1,0.9,,,0.9,1,0.8,0.75,,,,,,,,-0.1,0.05,1.3
258,LLM_MIX8X7B_T13,19,Female,PE,2b,0,1,1,0.9,,,0.99,0.99,0.5,0.009,,,,,,,,0,0.491,1.3
259,LLM_MIX8X7B_T13,19,Male,BM,2a,0,75,1,10,,,0.99,1,0.45,0.86,,,,,,,,-0.01,-0.41,1.3
260,LLM_MIX8X7B_T13,18,Male,BM,1b,1,0.45,1,0.1,,,1,0.6,0.8,0.2,,,,,,,,0.4,0.6,1.3
261,LLM_MIX8X7B_T13,20,Female,PE,1a,1,0.05,1,0.9,,,1,1,0.6,0.8,,,,,,,,0,-0.2,1.3
262,LLM_MIX8X7B_T13,19,Female,PE,2b,0,1,1,0.9,,,0.7,1,0.3,0.65,,,,,,,,-0.3,-0.35,1.3
263,LLM_MIX8X7B_T13,19,Male,PE,1a,1,5,1,90,,,0.7,0.6,0.8,0.4,,,,,,,,0.1,0.4,1.3
264,LLM_MIX8X7B_T13,20,Male,BM,2a,0,0.9,1,0.1,,,0.8,1,0.95,1,,,,,,,,-0.2,-0.05,1.3
265,LLM_MIX8X7B_T13,19,Female,PE,2b,0,0.1,1,0.9,,,0.7,0.85,0.6,0.95,,,,,,,,-0.15,-0.35,1.3
266,LLM_MIX8X7B_T13,18,Male,PE,1a,1,0.05,1,0.9,,,0.99,0.99,0.6,0.85,,,,,,,,0,-0.25,1.3
267,LLM_MIX8X7B_T13,19,Male,BM,1b,0,70,1,10,,,0.85,0.75,0.8,0.5,,,,,,,,0.1,0.3,1.3
268,LLM_MIX8X7B_T13,19,Male,BM,1b,1,0.45,1,0.1,,,0.6,0.5,0.3,0.25,,,,,,,,0.1,0.05,1.3
269,LLM_MIX8X7B_T13,19,Male,BM,1b,1,0.45,1,10,,,0.9,0.9,0.7,0.5,,,,,,,,0,0.2,1.3
270,LLM_MIX8X7B_T13,19,Female,BM,2a,0,0.9,1,0.1,,,0.67,1,0.4,0.85,,,,,,,,-0.33,-0.45,1.3
271,LLM_MIX8X7B_T13,19,Female,PE,1a,1,0.05,1,0.9,,,0.75,0.95,0.5,0.8,,,,,,,,-0.2,-0.3,1.3
272,LLM_MIX8X7B_T13,19,Female,BM,1b,0,2,1,10,,,0.97,0.001,-0.95,-0.9,,,,,,,,0.969,-0.05,1.3
273,LLM_MIX8X7B_T13,20,Male,BM,2a,1,0.45,1,0.1,,,0.95,1,0.8,1,,,,,,,,-0.05,-0.2,1.3
274,LLM_MIX8X7B_T13,18,Female,PE,2b,1,5,1,90,,,0.85,0.5,-0.5,0.75,,,,,,,,0.35,-1.25,1.3
275,LLM_MIX8X7B_T13,19,Male,BM,1b,1,0.45,1,0.1,,,1,1,0.5,1,,,,,,,,0,-0.5,1.3
276,LLM_MIX8X7B_T13,21,Male,BM,1b,1,0.45,1,0.1,,,1,1,0.75,0.99,,,,,,,,0,-0.24,1.3
277,LLM_MIX8X7B_T13,20,Female,BM,1b,0,2.9,1,0.1,,,0.6,0.85,0.45,0.75,,,,,,,,-0.25,-0.3,1.3
278,LLM_MIX8X7B_T13,20,Male,BM,1b,0,2,1,0.1,,,0.95,1,0.3,0.95,,,,,,,,-0.05,-0.65,1.3
279,LLM_MIX8X7B_T13,19,Male,BM,1b,0,2,1,0.1,,,1,1,0.6,0.75,,,,,,,,0,-0.15,1.3
280,LLM_MIX8X7B_T13,21,Female,BM,2a,1,0.45,1,0.1,,,0.85,0.75,0.3,0.6,,,,,,,,0.1,-0.3,1.3
281,LLM_MIX8X7B_T13,19,Female,PE,1a,1,0.05,1,0.9,,,0.9,0.98,0.75,0.95,,,,,,,,-0.08,-0.2,1.3
282,LLM_MIX8X7B_T13,21,Male,PE,1a,1,0.05,0,2,,,0.75,0.75,0.45,0.25,,,,,,,,0,0.2,1.3
283,LLM_MIX8X7B_T13,29,Male,BM,1b,1,0.45,1,0.1,,,0.85,1,0.45,0.75,,,,,,,,-0.15,-0.3,1.3
284,LLM_MIX8X7B_T13,24,Male,BM,1b,0,2,1,0.1,,,1,1,-0.8,-0.55,,,,,,,,0,-0.25,1.3
285,LLM_MIX8X7B_T13,30,Male,PE,2b,1,0.05,1,0.9,,,0.7,0.9,0.65,0.85,,,,,,,,-0.2,-0.2,1.3
286,LLM_MIX8X7B_T13,40,Female,PE,1a,0,0.1,1,0.9,,,1,1,0.011,0.95,,,,,,,,0,-0.939,1.3
287,LLM_MIX8X7B_T13,37,Male,PE,2b,1,0.05,1,0.9,,,0.6,0.029,0.75,0.6,,,,,,,,0.571,0.15,1.3
288,LLM_MIX8X7B_T13,28,Male,PE,1a,1,0.05,1,0.9,,,0.95,1,0.7,0.8,,,,,,,,-0.05,-0.1,1.3
289,LLM_MIX8X7B_T13,29,Male,PE,1a,0,0.1,1,90,,,0.85,0.8,0.75,0.65,,,,,,,,0.05,0.1,1.3
290,LLM_MIX8X7B_T13,29,Female,BM,2a,0,50,1,10,,,0.9,0.99,0.5,-0.9,,,,,,,,-0.09,1.4,1.3
291,LLM_MIX8X7B_T13,24,Male,PE,2b,0,0.5,1,90,,,0.85,0.85,0.45,0.009,,,,,,,,0,0.441,1.3
292,LLM_MIX8X7B_T13,42,Female,BM,2a,0,0.35,1,0.1,,,0.85,1,0.7,0.9,,,,,,,,-0.15,-0.2,1.3
293,LLM_MIX8X7B_T13,24,Male,PE,2b,1,0.05,1,0.9,,,0.6,1,0.4,0.8,,,,,,,,-0.4,-0.4,1.3
294,LLM_MIX8X7B_T13,41,Female,BM,2a,0,0.9,1,10,,,1,1,0.75,0.85,,,,,,,,0,-0.1,1.3
295,LLM_MIX8X7B_T13,21,Male,PE,2b,1,5,1,0.9,,,0.8,1,0.6,0.6,,,,,,,,-0.2,0,1.3
296,LLM_MIX8X7B_T13,23,Female,BM,2a,0,50,1,10,,,0.8,0.99,0.25,0.75,,,,,,,,-0.19,-0.5,1.3
297,LLM_MIX8X7B_T13,21,Male,BM,2a,1,0.45,1,0.1,,,0.0045,1,0.0035,0.85,,,,,,,,-0.9955,-0.8465,1.3
298,LLM_MIX8X7B_T13,22,Male,PE,2b,1,0.05,1,0.9,,,0.75,1,0.3,0.9,,,,,,,,-0.25,-0.6,1.3
299,LLM_MIX8X7B_T13,20,Female,BM,2a,1,0.45,1,0.1,,,0.8,0.9,0.6,0.8,,,,,,,,-0.1,-0.2,1.3
300,LLM_MIX8X7B_T13,26,Female,BM,1b,0,,0,,,,0.9,0.85,0.98,0.97,,,,,,,,0.05,0.01,1.3
301,LLM_MIX8X7B_T13,28,Female,BM,1b,1,0.45,1,0.1,,,1,1,0.35,0.95,,,,,,,,0,-0.6,1.3
302,LLM_MIX8X7B_T13,29,Male,BM,2a,1,0.45,1,0.1,,,1,1,0.3,0.7,,,,,,,,0,-0.4,1.3
303,LLM_MIX8X7B_T13,23,Male,PE,2b,1,0.05,1,0.9,,,0.6,1,0.4,0.7,,,,,,,,-0.4,-0.3,1.3
304,LLM_MIX8X7B_T13,29,Male,BM,1b,1,0.45,1,0.1,,,,,0.25,0.65,,,,,,,,,-0.4,1.3
305,LLM_MIX8X7B_T13,27,Male,BM,2a,0,2,0,1,,,0.85,1,-0.9,0.95,,,,,,,,-0.15,-1.85,1.3
306,LLM_MIX8X7B_T13,25,Male,BM,1b,1,0.45,1,0.1,,,1,0.9,0.85,0.75,,,,,,,,0.1,0.1,1.3
307,LLM_MIX8X7B_T13,22,Male,BM,1b,1,45,1,10,,,0.99,0.1,0.6,0.9,,,,,,,,0.89,-0.3,1.3
308,LLM_MIX8X7B_T13,24,Female,PE,1a,1,0.05,1,0.9,,,0.85,0.95,0.85,0.85,,,,,,,,-0.1,0,1.3
309,LLM_MIX8X7B_T13,22,Male,PE,1a,0,0.1,1,0.9,,,0.5,0.8,0.65,0.75,,,,,,,,-0.3,-0.1,1.3
310,LLM_MIX8X7B_T13,24,Female,BM,2a,0,0.9,1,0.1,,,1,1,0.75,-0.9,,,,,,,,0,1.65,1.3
311,LLM_MIX8X7B_T13,26,Male,PE,2b,1,0.05,1,0.9,,,0.8,1,0.2,0.5,,,,,,,,-0.2,-0.3,1.3
312,LLM_MIX8X7B_T13,25,Male,PE,1a,1,0.05,1,0.9,,,0.9,0.97,0.6,0.6,,,,,,,,-0.07,0,1.3
313,LLM_MIX8X7B_T13,23,Male,PE,1a,0,0.1,1,0.9,,,0.8,0.8,0.1,0.65,,,,,,,,0,-0.55,1.3
314,LLM_MIX8X7B_T13,28,Male,BM,2a,0,0.9,0,,,,0.99,0.05,0.45,0.25,,,,,,,,0.94,0.2,1.3
315,LLM_MIX8X7B_T13,24,Male,PE,2b,1,0.05,1,90,,,,0.85,0.9,0.7,,,,,,,,,0.2,1.3
316,LLM_MIX8X7B_T13,35,Female,PE,2b,1,0.05,1,0.9,,,0.9,0.75,0.85,0.7,,,,,,,,0.15,0.15,1.3
317,LLM_MIX8X7B_T13,25,Male,PE,2b,1,0.05,1,0.9,,,1,1,0.4,0.7,,,,,,,,0,-0.3,1.3
318,LLM_MIX8X7B_T13,20,Male,BM,2a,1,0.45,1,0.1,,,1,1,0.8,0.8,,,,,,,,0,0,1.3
319,LLM_MIX8X7B_T13,23,Male,BM,2a,1,0.45,1,10,,,0.78,0.99,0.95,0.85,,,,,,,,-0.21,0.1,1.3
320,LLM_MIX8X7B_T13,39,Male,PE,2b,1,0.05,1,0.9,,,0.8,0.95,0.7,0.9,,,,,,,,-0.15,-0.2,1.3
321,LLM_MIX8X7B_T13,23,Male,BM,2a,1,0.45,0,1,,,1,,0.3,-0.8,,,,,,,,,1.1,1.3
322,LLM_MIX8X7B_T13,20,Male,PE,2b,1,0.05,1,0.9,,,0.95,0.9,0.9,0.8,,,,,,,,0.05,0.1,1.3
323,LLM_MIX8X7B_T13,21,Male,PE,1a,1,5,1,90,,,0.9,0.9,0.7,0.9,,,,,,,,0,-0.2,1.3
324,LLM_MIX8X7B_T13,23,Male,BM,2a,0,0.9,0,1,,,1,1,0.02,0.95,,,,,,,,0,-0.93,1.3
325,LLM_MIX8X7B_T13,39,Female,PE,2b,1,0.05,1,0.9,,,0.8,0.95,,0.6,,,,,,,,-0.15,,1.3
326,LLM_MIX8X7B_T13,24,Male,PE,1a,0,0.1,1,0.9,,,0.8,0.95,0.7,0.9,,,,,,,,-0.15,-0.2,1.3
327,LLM_MIX8X7B_T13,46,Female,PE,2b,1,0.05,1,0.9,,,1,0.85,0.2,0.75,,,,,,,,0.15,-0.55,1.3
328,LLM_MIX8X7B_T13,24,Male,PE,1a,0,10,0,2,,,0.85,1,,,,,,,,,,-0.15,,1.3
329,LLM_MIX8X7B_T13,21,Female,PE,1a,0,0.1,1,90,,,1,0.8,0.5,0.7,,,,,,,,0.2,-0.2,1.3
330,LLM_MIX8X7B_T13,21,Male,PE,2b,1,0.05,1,0.9,,,0.75,1,0.6,0.85,,,,,,,,-0.25,-0.25,1.3
331,LLM_MIX8X7B_T13,32,Male,BM,1b,0,2,1,0.1,,,1,0.85,0.8,0.9,,,,,,,,0.15,-0.1,1.3
332,LLM_MIX8X7B_T13,18,Male,BM,1b,0,90,1,10,,,0.75,0.99,0.65,0.95,,,,,,,,-0.24,-0.3,1.3
333,LLM_MIX8X7B_T13,33,Male,PE,1a,0,0.1,1,0.9,,,0.5,1,0.25,0.75,,,,,,,,-0.5,-0.5,1.3
334,LLM_MIX8X7B_T13,24,Male,BM,1b,0,0.9,1,10,,,0.8,0.95,0.4,0.85,,,,,,,,-0.15,-0.45,1.3
335,LLM_MIX8X7B_T13,29,Female,BM,2a,0,0.75,0,,,,0.85,1,0.6,0.2,,,,,,,,-0.15,0.4,1.3
336,LLM_MIX8X7B_T13,24,Male,BM,2a,1,0.45,1,0.1,,,0.8,0.95,0.75,0.9,,,,,,,,-0.15,-0.15,1.3
337,LLM_MIX8X7B_T13,29,Male,BM,1b,0,2,1,0.1,,,0.75,0.4,-0.65,0.8,,,,,,,,0.35,-1.45,1.3
338,LLM_MIX8X7B_T13,25,Male,BM,1b,0,2,0,1.1,,,1,1,-0.95,-1,,,,,,,,0,0.05,1.3
339,LLM_MIX8X7B_T13,22,Female,BM,1b,1,0.45,1,0.1,,,0.0045,0.95,-0.7,-0.7,,,,,,,,-0.9455,0,1.3
340,LLM_MIX8X7B_T13,40,Female,BM,2a,0,0.7,1,0.1,,,1,1,0.7,-0.9,,,,,,,,0,1.6,1.3
341,LLM_MIX8X7B_T13,30,Female,BM,2a,1,45,1,10,,,0.9,1,0.7,0.8,,,,,,,,-0.1,-0.1,1.3
342,LLM_MIX8X7B_T13,20,Male,BM,2a,0,2.9,0,1.1,,,0.98,0.95,0.5,0.5,,,,,,,,0.03,0,1.3
343,LLM_MIX8X7B_T13,33,Female,BM,1b,0,40,1,10,,,0.9,0.95,0.65,0.85,,,,,,,,-0.05,-0.2,1.3
344,LLM_MIX8X7B_T13,29,Female,PE,2b,0,0.1,1,90,,,0.5,0.8,0.65,0.7,,,,,,,,-0.3,-0.05,1.3
345,LLM_MIX8X7B_T13,21,Male,BM,2a,0,90,1,10,,,0.75,0.85,0.75,0.65,,,,,,,,-0.1,0.1,1.3
346,LLM_MIX8X7B_T13,22,Male,PE,2b,0,0.1,1,0.9,,,0.53,0.75,0.51,0.68,,,,,,,,-0.22,-0.17,1.3
347,LLM_MIX8X7B_T13,22,Male,PE,2b,1,0.05,1,0.9,,,1,1,0.5,0.5,,,,,,,,0,0,1.3
348,LLM_MIX8X7B_T13,49,Male,BM,2a,0,0.9,1,0.1,,,0.95,0.8,0.7,0.7,,,,,,,,0.15,0,1.3
349,LLM_MIX8X7B_T13,27,Female,BM,1b,0,,1,0.1,,,0.85,1,0.6,0.5,,,,,,,,-0.15,0.1,1.3
350,LLM_MIX8X7B_T13,19,Male,PE,2b,1,0.05,1,0.9,,,0.95,1,0.6,0.5,,,,,,,,-0.05,0.1,1.3
351,LLM_MIX8X7B_T13,22,Male,BM,2a,0,90,1,0.1,,,0.85,1,0.5,0.9,,,,,,,,-0.15,-0.4,1.3
352,LLM_MIX8X7B_T13,29,Male,BM,1b,1,45,1,10,,,0.8,1,0.5,0.95,,,,,,,,-0.2,-0.45,1.3
353,LLM_MIX8X7B_T13,23,Male,PE,1a,0,0.1,1,0.9,,,1,1,0.4,0.8,,,,,,,,0,-0.4,1.3
354,LLM_MIX8X7B_T13,22,Male,PE,1a,0,0.1,0,2.9,,,0.95,1,0.65,0.85,,,,,,,,-0.05,-0.2,1.3
355,LLM_MIX8X7B_T13,27,Male,PE,2b,1,0.05,1,0.9,,,0.7,0.6,0.2,0.009,,,,,,,,0.1,0.191,1.3
356,LLM_MIX8X7B_T13,19,Male,PE,1a,1,0.05,1,0.9,,,1,1,0.5,0.85,,,,,,,,0,-0.35,1.3
357,LLM_MIX8X7B_T13,24,Female,PE,1a,1,0.05,1,0.9,,,1,1,0.25,0.5,,,,,,,,0,-0.25,1.3
358,LLM_MIX8X7B_T13,21,Female,BM,2a,1,0.45,1,0.1,,,0.85,1,0.7,0.99,,,,,,,,-0.15,-0.29,1.3
359,LLM_MIX8X7B_T13,25,Male,PE,1a,1,0.05,0,2,,,0.9,0.9,0.75,-0.9,,,,,,,,0,1.65,1.3
360,LLM_MIX8X7B_T13,24,Male,BM,1b,1,0.45,1,0.1,,,0.8,1,0.33,0.75,,,,,,,,-0.2,-0.42,1.3
361,LLM_MIX8X7B_T13,23,Male,PE,1a,0,0.1,1,0.9,,,0.75,1,0.98,0.55,,,,,,,,-0.25,0.43,1.3
362,LLM_MIX8X7B_T13,27,Male,BM,2a,0,0.9,1,0.1,,,0.95,0.85,0.4,0.7,,,,,,,,0.1,-0.3,1.3
363,LLM_MIX8X7B_T13,20,Female,PE,2b,1,0.05,1,0.9,,,0.6,1,0.4,0.8,,,,,,,,-0.4,-0.4,1.3
364,LLM_MIX8X7B_T13,25,Male,BM,1b,1,0.45,1,0.1,,,0.75,0.97,0.37,0.67,,,,,,,,-0.22,-0.3,1.3
365,LLM_MIX8X7B_T13,36,Female,PE,1a,0,0.5,1,0.9,,,1,0.85,0.9,0.65,,,,,,,,0.15,0.25,1.3
366,LLM_MIX8X7B_T13,21,Female,PE,2b,0,0.3,1,0.9,,,0.99,0.95,0.7,0.9,,,,,,,,0.04,-0.2,1.3
367,LLM_MIX8X7B_T13,39,Male,BM,1b,0,1,1,0.1,,,0.95,0.8,0.35,0.75,,,,,,,,0.15,-0.4,1.3
368,LLM_MIX8X7B_T13,22,Male,PE,1a,1,0.05,1,0.9,,,0.99,1,0.8,0.99,,,,,,,,-0.01,-0.19,1.3
369,LLM_MIX8X7B_T13,21,Female,PE,2b,1,0.05,1,0.9,,,1,1,,0.8,,,,,,,,0,,1.3
370,LLM_MIX8X7B_T13,22,Female,PE,2b,1,0.05,1,0.9,,,,,0.98,0.98,,,,,,,,,0,1.3
371,LLM_MIX8X7B_T13,26,Male,BM,2a,1,0.45,1,0.1,,,0.9,1,0.85,0.95,,,,,,,,-0.1,-0.1,1.3
372,LLM_MIX8X7B_T13,19,Female,PE,1a,1,5,1,90,,,0.87,0.9,0.45,0.33,,,,,,,,-0.03,0.12,1.3
373,LLM_MIX8X7B_T13,24,Male,PE,2b,1,0.05,1,0.9,,,0.45,0.65,0.3,0.8,,,,,,,,-0.2,-0.5,1.3
374,LLM_MIX8X7B_T13,25,Female,PE,1a,1,5,1,90,,,1,1,0.9,0.5,,,,,,,,0,0.4,1.3
375,LLM_MIX8X7B_T13,26,Male,BM,2a,1,0.45,1,0.1,,,0.85,0.95,0.4,0.6,,,,,,,,-0.1,-0.2,1.3
376,LLM_MIX8X7B_T13,21,Female,BM,2a,1,0.45,1,0.1,,,0.7,1,0.6,0.99,,,,,,,,-0.3,-0.39,1.3
377,LLM_MIX8X7B_T13,20,Male,BM,1b,0,2.9,1,0.1,,,1,1,0.85,0.85,,,,,,,,0,0,1.3
378,LLM_MIX8X7B_T13,20,Male,PE,1a,1,5,1,90,,,1,1,0.9,1,,,,,,,,0,-0.1,1.3
379,LLM_MIX8X7B_T13,21,Female,PE,2b,0,10,1,90,,,1,0.95,0.7,0.6,,,,,,,,0.05,0.1,1.3
380,LLM_MIX8X7B_T13,22,Male,PE,1a,0,0.1,1,0.9,,,0.98,0.99,0.75,0.95,,,,,,,,-0.01,-0.2,1.3
381,LLM_MIX8X7B_T13,26,Male,BM,1b,0,2,0,1.1,,,0.95,0.85,0.97,0.95,,,,,,,,0.1,0.02,1.3
382,LLM_MIX8X7B_T13,21,Male,PE,2b,1,0.05,1,0.9,,,0.7,1,0.4,0.8,,,,,,,,-0.3,-0.4,1.3
